species_id,bwg_name,domain,kingdom,phylum,subphylum,class,subclass,ord,subord,family,subfamily,tribe,genus,species,functional_group,BS1,BS2,BS3,BS4,BS5,LO1,LO2,LO3,LO4,LO5,LO6,LO7,MD1,MD2,MD3,MD4,MD5,MD6,MD7,MD8,BF1,BF2,BF3,BF4,stage,length_mm,biomass_type,biomass_mg,provenance,provenance_species,closest_relative,num_relatives,shared_taxon,r_squared,sample_size,intercept,slope,ln_intercept
NA,,Eukaryota,Animalia,Arthropoda,Crustacea,Maxillopoda,Copepoda,Cyclopoida,,Cyclopidae,NA,NA,Thermocyclops,minutus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.112,dry,0.000232,length.interpolate,exact,NA,NA,NA,0.935,138,NA,0.5609,-0.2886
NA,,Eukaryota,Animalia,Arthropoda,Crustacea,Maxillopoda,Copepoda,Cyclopoida,,Cyclopidae,NA,NA,Thermocyclops,minutus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,dry,0.000318,length.interpolate,exact,NA,NA,NA,0.935,138,NA,0.5609,-0.2886
NA,,Eukaryota,Animalia,Arthropoda,Crustacea,Maxillopoda,Copepoda,Cyclopoida,,Cyclopidae,NA,NA,Thermocyclops,minutus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.396,dry,0.000432,length.interpolate,exact,NA,NA,NA,0.935,138,NA,0.5609,-0.2886
NA,,Eukaryota,Animalia,Arthropoda,Crustacea,Maxillopoda,Copepoda,Cyclopoida,,Cyclopidae,NA,NA,Thermocyclops,minutus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.421,dry,0.000457,length.interpolate,exact,NA,NA,NA,0.935,138,NA,0.5609,-0.2886
NA,,Eukaryota,Animalia,Arthropoda,Crustacea,Maxillopoda,Copepoda,Cyclopoida,,Cyclopidae,NA,NA,Thermocyclops,minutus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.496,dry,0.000563,length.interpolate,exact,NA,NA,NA,0.935,138,NA,0.5609,-0.2886
NA,,Eukaryota,Animalia,Arthropoda,Crustacea,Maxillopoda,Copepoda,Cyclopoida,,Cyclopidae,NA,NA,Thermocyclops,minutus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116,dry,0.00021,length.interpolate,exact,NA,NA,NA,0.971,134,NA,0.7849,0.0922
NA,,Eukaryota,Animalia,Arthropoda,Crustacea,Maxillopoda,Copepoda,Cyclopoida,,Cyclopidae,NA,NA,Thermocyclops,minutus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.299,dry,0.000396,length.interpolate,exact,NA,NA,NA,0.971,134,NA,0.7849,0.0922
NA,,Eukaryota,Animalia,Arthropoda,Crustacea,Maxillopoda,Copepoda,Cyclopoida,,Cyclopidae,NA,NA,Thermocyclops,minutus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.418,dry,0.000536,length.interpolate,exact,NA,NA,NA,0.971,134,NA,0.7849,0.0922
NA,,Eukaryota,Animalia,Arthropoda,Crustacea,Maxillopoda,Copepoda,Cyclopoida,,Cyclopidae,NA,NA,Thermocyclops,minutus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.445,dry,0.000548,length.interpolate,exact,NA,NA,NA,0.971,134,NA,0.7849,0.0922
NA,,Eukaryota,Animalia,Arthropoda,Crustacea,Maxillopoda,Copepoda,Cyclopoida,,Cyclopidae,NA,NA,Thermocyclops,minutus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.511,dry,0.000733,length.interpolate,exact,NA,NA,NA,0.971,134,NA,0.7849,0.0922
NA,,Eukaryota,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,Cladocera,,Daphniidae,NA,NA,Ceriodaphnia,cornuta,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.212,dry,0.00025,length.interpolate,exact,NA,NA,NA,0.717,81,NA,1.772,1.31
NA,,Eukaryota,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,Cladocera,,Daphniidae,NA,NA,Ceriodaphnia,cornuta,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.251,dry,0.000341,length.interpolate,exact,NA,NA,NA,0.717,81,NA,1.772,1.31
NA,,Eukaryota,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,Cladocera,,Daphniidae,NA,NA,Ceriodaphnia,cornuta,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.317,dry,0.000485,length.interpolate,exact,NA,NA,NA,0.717,81,NA,1.772,1.31
NA,,Eukaryota,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,Cladocera,,Daphniidae,NA,NA,Ceriodaphnia,cornuta,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.274,dry,0.00042,length.interpolate,exact,NA,NA,NA,0.721,71,NA,1.524,0.9936
NA,,Eukaryota,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,Cladocera,,Daphniidae,NA,NA,Ceriodaphnia,cornuta,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.331,dry,0.000513,length.interpolate,exact,NA,NA,NA,0.721,71,NA,1.524,0.9936
NA,,Eukaryota,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,Cladocera,,Daphniidae,NA,NA,Ceriodaphnia,cornuta,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.414,dry,0.000718,length.interpolate,exact,NA,NA,NA,0.721,71,NA,1.524,0.9936
NA,,Eukaryota,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,Cladocera,,Daphniidae,NA,NA,Daphnia,ambigua,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.604,dry,0.000957,length.interpolate,exact,NA,NA,NA,0.921,81,NA,2.418,1.169
NA,,Eukaryota,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,Cladocera,,Daphniidae,NA,NA,Daphnia,ambigua,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.824,dry,0.002016,length.interpolate,exact,NA,NA,NA,0.921,81,NA,2.418,1.169
NA,,Eukaryota,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,Cladocera,,Daphniidae,NA,NA,Daphnia,ambigua,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.112,dry,0.004174,length.interpolate,exact,NA,NA,NA,0.921,81,NA,2.418,1.169
NA,,Eukaryota,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,Cladocera,,Daphniidae,NA,NA,Ceriodaphnia,silvestrii,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375,dry,0.000799,length.interpolate,exact,NA,NA,NA,0.798,76,NA,1.76,1.45
NA,,Eukaryota,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,Cladocera,,Daphniidae,NA,NA,Ceriodaphnia,silvestrii,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.491,dry,0.00183,length.interpolate,exact,NA,NA,NA,0.798,76,NA,1.76,1.45
NA,,Eukaryota,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,Cladocera,,Daphniidae,NA,NA,Ceriodaphnia,silvestrii,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64,dry,0.00201,length.interpolate,exact,NA,NA,NA,0.798,76,NA,1.76,1.45
NA,,Eukaryota,Animalia,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,Pharyngobdella,Erpobdellidae,NA,NA,Erpobdella,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry,NA,,exact,NA,NA,NA,1,12,NA,2.37,-4.71
NA,,Eukaryota,Animalia,Arthropoda,Crustacea,Ostracoda,Myodocopa,Halocyprida,Holocypridina,Halocyprididae,NA,NA,Discoconchoecia,pseudodiscophora,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry,NA,,,NA,NA,NA,0.992,8,-7.751,2.61,NA
NA,,Eukaryota,Animalia,Arthropoda,Crustacea,Ostracoda,Myodocopa,Halocyprida,Holocypridina,Halocyprididae,NA,NA,Metaconchoecia,skogsbergi,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry,NA,,,NA,NA,NA,0.996,7,-7.143,2.42,NA
NA,,Eukaryota,Animalia,Arthropoda,Crustacea,Ostracoda,Myodocopa,Halocyprida,Holocypridina,Halocyprididae,NA,NA,Orthoconchoecia,haddoni,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry,NA,,,NA,NA,NA,0.996,8,-7.511,2.53,NA
NA,,Eukaryota,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry,NA,,,NA,NA,NA,NA,NA,NA,2.761,3.682
3361,Copepoda.1,Eukaryota,Animalia,Arthropoda,Crustacea,Maxillopoda,Copepoda,Harpacticoida,NA,Canthocamptidae,NA,NA,Bryocamptus,NA,filter.feeder,3,0,0,0,0,0,1,0,2,3,3,0,0,0,3,1,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3366,Branchiopoda.2,Eukaryota,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,Diplostraca,Cladocera,Daphniidae,NA,NA,NA,NA,filter.feeder,3,0,0,0,0,0,1,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3371,Diptera.222,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,3,1,larva,4.5,dry,0.067033333,length.raw,related,Diptera.115;Diptera.67;Diptera.461,65,ord,NA,NA,NA,NA,NA
3371,Diptera.222,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,3,1,larva,5.5,dry,0.1475,length.raw,related,Diptera.463;Diptera.113;Diptera.461;Diptera.457,65,ord,NA,NA,NA,NA,NA
3376,Diptera.223,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3381,Diptera.224,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3386,Diptera.225,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3391,Diptera.226,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3396,Diptera.26,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,1,0,2,1,0,0,3,1,1,1,1,0,0,0,0,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3401,Diptera.437,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,1,0,2,1,0,0,3,1,1,1,1,0,0,0,0,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3406,Diptera.27,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,1,0,2,1,0,0,3,1,1,1,1,0,0,0,0,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3411,Diptera.28,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,1,0,2,1,0,0,3,1,1,1,1,0,0,0,0,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3416,Diptera.29,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,1,0,2,1,0,0,3,1,1,1,1,0,0,0,0,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3421,Branchiopoda.3,Eukaryota,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,Diplostraca,Cladocera,Daphniidae,NA,NA,Ceriodaphnia,laticaudata,filter.feeder,3,0,0,0,0,0,1,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3426,Diptera.229,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,NA,NA,NA,NA,NA,NA,piercer,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,3,1,larva,7,dry,0.1674,length.raw,related,Diptera.64;Diptera.284,65,ord,NA,NA,NA,NA,NA
3426,Diptera.229,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,NA,NA,NA,NA,NA,NA,piercer,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,3,1,larva,2,dry,0.010766667,length.raw,related,Diptera.15;Diptera.444;Diptera.86;Diptera.105;Diptera.373;Diptera.101;Diptera.462;Diptera.103;Diptera.469;Diptera.134;Diptera.115;Diptera.378;Diptera.377;Diptera.64;Diptera.380;Diptera.381;Diptera.219;Diptera.69;Diptera.67;Diptera.448;Diptera.278;Diptera.461,65,ord,NA,NA,NA,NA,NA
3426,Diptera.229,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,NA,NA,NA,NA,NA,NA,piercer,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,3,1,larva,4,dry,0.06375,length.raw,related,Diptera.105;Diptera.373;Diptera.462;Diptera.134;Diptera.115;Diptera.219;Diptera.69;Diptera.451;Diptera.67;Diptera.449;Diptera.468,65,ord,NA,NA,NA,NA,NA
3426,Diptera.229,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,NA,NA,NA,NA,NA,NA,piercer,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,3,1,larva,3,dry,0.028,length.raw,related,Diptera.15;Diptera.444;Diptera.445;Diptera.86;Diptera.463;Diptera.464;Diptera.134;Diptera.115;Diptera.377;Diptera.452;Diptera.64;Diptera.380;Diptera.451;Diptera.278;Diptera.447,65,ord,NA,NA,NA,NA,NA
3431,Diptera.7,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,aff. Drosophilidae,NA,NA,NA,NA,gatherer,3,0,0,0,0,0,0,0,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3436,Diptera.184,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Anisopodidae,Anisopodinae,NA,Olbiogaster,NA,gatherer,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,larva,11,dry,0.419873827,length.interpolate,related,Diptera.101;Diptera.102;Diptera.103;Diptera.105;Diptera.113;Diptera.115;Diptera.15;Diptera.219;Diptera.278;Diptera.373;Diptera.377;Diptera.378;Diptera.379;Diptera.380;Diptera.381;Diptera.444;Diptera.445;Diptera.447;Diptera.448;Diptera.449;Diptera.45;Diptera.450;Diptera.451;Diptera.452;Diptera.453;Diptera.455;Diptera.456;Diptera.457;Diptera.459;Diptera.460;Diptera.461;Diptera.462;Diptera.463;Diptera.464;Diptera.465;Diptera.467;Diptera.468;Diptera.64;Diptera.65;Diptera.67;Diptera.69;Diptera.86;Diptera.99,54,subord,0.668011086,8,-2.537613313,2.074848563,NA
3441,Diptera.497,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Anisopodidae,NA,NA,NA,NA,gatherer,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3446,Diptera.16,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Axymyiidae,NA,NA,NA,NA,engulfer,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3451,Diptera.529,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,Canacidae,NA,NA,NA,NA,piercer,0,3,0,0,0,0,0,0,3,2,0,0,3,0,0,0,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3456,Diptera.521,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Cecidomyiidae,NA,NA,NA,NA,piercer,0,3,0,0,0,0,0,0,3,2,0,0,3,0,0,0,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3461,Diptera.522,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Cecidomyiidae,NA,NA,NA,NA,piercer,0,3,0,0,0,0,0,0,3,2,0,0,3,0,0,0,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3466,Diptera.523,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Cecidomyiidae,NA,NA,NA,NA,piercer,0,3,0,0,0,0,0,0,3,2,0,0,3,0,0,0,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
